,ENTITLEMENT
The Faithful,"There's something mystifying about her, perhaps it's her perseverance or perhaps it's simply her clumsiness. But nonetheless, people tend to be curious about her, while befriending her friends to get closer to her. "
The Faithless,"There's something enticing about her, perhaps it's her unusual alliances or perhaps it's simply a feeling of comfort. But nonetheless, people tend to keep their distance, while spreading stories about her. "
The Familial,"There's something charming about her, perhaps it's a feeling of remorse or perhaps it's simply her decency. But nonetheless, people tend to welcome her, while commending her for her deeds. "
The Fanatical,"There's something ambiguous about her, perhaps it's her hatred or perhaps it's simply her disposition. But nonetheless, people tend to ask her for favors, while thinking of ways to become her friend. "
The Fanciful,"There's something mystifying about her, perhaps it's her personality or perhaps it's simply a feeling of sadness. But nonetheless, people tend to become her friend, while secretly despising her. "
The Farsighted,"There's something obscure about her, perhaps it's a feeling of sadness or perhaps it's simply her odd friends. But nonetheless, people tend to pretend to be her best friend, while thinking of ways to become her friend. "
The Felicific,"There's something bewildering about her, perhaps it's her unusual alliances or perhaps it's simply a feeling of hospitality. But nonetheless, people tend to socialize with her, while trying to subtly stare. "
The Firm,"There's something enticing about her, perhaps it's her reputation or perhaps it's simply her perseverance. But nonetheless, people tend to worship her, while spreading stories about her. "
The Flexible,"There's something extraordinary about her, perhaps it's her tenderness or perhaps it's simply her goodwill. But nonetheless, people tend to share local gossip with her, while secretly despising her. "
The Focused,"There's something bewildering about her, perhaps it's her company or perhaps it's simply her presence. But nonetheless, people tend to share local gossip with her, while secretly despising her. "
The Folksy,"There's something irregular about her, perhaps it's her presence or perhaps it's simply a feeling of shame. But nonetheless, people tend to treat her like family, while thinking of ways to become her friend. "
The Forceful,"There's something different about her, perhaps it's her gentleness or perhaps it's simply her clumsiness. But nonetheless, people tend to ask her to tell stories, while hoping their sons will grow up to be like her. "
The Forgiving,"There's something obscure about her, perhaps it's her bravery or perhaps it's simply her painful past. But nonetheless, people tend to brag about knowing her, while thinking of ways to become her friend. "
The Formal,"There's something charming about her, perhaps it's her friendly demeanor or perhaps it's simply her kindness. But nonetheless, people tend to welcome her with open arms, while secretly admiring her. "
The Forthright,"There's something mystifying about her, perhaps it's her sense of justice or perhaps it's simply her odd companions. But nonetheless, people tend to ask her about her latest victory, while trying to subtly stare. "
The Freethinking,"There's something irregular about her, perhaps it's her reputation or perhaps it's simply her good looks. But nonetheless, people tend to take pride in knowing her as a friend, while hoping to one day follow in her footsteps. "
The Freewheeling,"There's something odd about her, perhaps it's her attitude or perhaps it's simply a feeling of anguish. But nonetheless, people tend to be curious about her, while wanting to fight along her side in battle. "
The Friendly,"There's something intriguing about her, perhaps it's her presence or perhaps it's simply her sense of justice. But nonetheless, people tend to take pride in knowing her as a friend, while awkwardly avoid talking about her past. "
The Frugal,"There's something intriguing about her, perhaps it's her suffering or perhaps it's simply her goodwill. But nonetheless, people tend to invite her into their homes, while thinking of ways to become her friend. "
The Funloving,"There's something incomprehensible about her, perhaps it's her attitude or perhaps it's simply her sense of justice. But nonetheless, people tend to stay on her good side, while spreading rumors about her behind her back. "
The Gallant,"There's something intriguing about her, perhaps it's a feeling of sadness or perhaps it's simply her odd friends. But nonetheless, people tend to buy her a drink, while trying to hide from her. "
The Generous,"There's something curious about her, perhaps it's a feeling of shame or perhaps it's simply a feeling of coldness. But nonetheless, people tend to lie about knowing her to brag, while hoping to one day follow in her footsteps. "
The Gentle,"There's something obscure about her, perhaps it's her gentleness or perhaps it's simply a feeling of coldness. But nonetheless, people tend to brag about knowing her, while spreading rumors about her behind her back. "
The Genuine,"There's something enigmatic about her, perhaps it's her suffering or perhaps it's simply her good looks. But nonetheless, people tend to follow her, while hoping their sons will grow up to be like her. "
The Glamorous,"There's something fascinating about her, perhaps it's her odd companions or perhaps it's simply a feeling of shame. But nonetheless, people tend to subtly ignore her, while secretly despising her. "
The Guileless,"There's something ambiguous about her, perhaps it's her tenderness or perhaps it's simply her humility. But nonetheless, people tend to share local gossip with her, while secretly admiring her. "
The Hero,"There's something enticing about her, perhaps it's a feeling of guilt or perhaps it's simply a feeling of comfort. But nonetheless, people tend to take pride in knowing her as a friend, while trying to avoid her. "
The Highspirited,"There's something curious about her, perhaps it's a feeling of comfort or perhaps it's simply her persistence. But nonetheless, people tend to befriend her, while trying to hide from her. "
The Hurried,"There's something obscure about her, perhaps it's her tenderness or perhaps it's simply her fortunate past. But nonetheless, people tend to pretend to be her friend, while wishing they were more like her. "
The Hypnotic,"There's something odd about her, perhaps it's her friendly demeanor or perhaps it's simply her disposition. But nonetheless, people tend to socialize with her, while spreading rumors about her behind her back. "
The Iconoclastic,"There's something inexplicable about her, perhaps it's her tenderness or perhaps it's simply her presence. But nonetheless, people tend to wish to get to know her better, while trying to please her. "
The Idiosyncratic,"There's something fascinating about her, perhaps it's her presence or perhaps it's simply her decency. But nonetheless, people tend to follow her, while trying to hide from her. "
The Impassive,"There's something ambiguous about her, perhaps it's her reputation or perhaps it's simply her decency. But nonetheless, people tend to salute her in the streets, while thinking of ways to become her friend. "
The Impersonal,"There's something seductive about her, perhaps it's her odd friends or perhaps it's simply a feeling of delight. But nonetheless, people tend to ask her to tell stories, while hoping to one day follow in her footsteps. "
The Impressionable,"There's something ambiguous about her, perhaps it's her personality or perhaps it's simply her odd friends. But nonetheless, people tend to worship her, while thinking of ways to become her friend. "
The Intense,"There's something bizarre about her, perhaps it's her goodwill or perhaps it's simply her sense of comradely But nonetheless, people tend to pretend to be her best friend, while spreading stories about her. "
The Invisible,"There's something puzzling about her, perhaps it's her warmth or perhaps it's simply her unusual looks. But nonetheless, people tend to wish to get to know her better, while secretly despising her. "
The Irreligious,"There's something incomprehensible about her, perhaps it's her unfortunate past or perhaps it's simply her unusual looks. But nonetheless, people tend to lie about knowing her to brag, while awkwardly avoid talking about her past. "
The Irreverent,"There's something bizarre about her, perhaps it's her sense of justice or perhaps it's simply her painful past. But nonetheless, people tend to try to get her to marry their off-spring, while hoping she will one day be their leader. "
The Maternal,"There's something seductive about her, perhaps it's her sense of humor or perhaps it's simply her reputation. But nonetheless, people tend to thank her for her service, while jealousy consumes them. "
The Mellow,"There's something extraordinary about her, perhaps it's a feeling of coldness or perhaps it's simply her friendly demeanor. But nonetheless, people tend to worship her, while thinking of ways to become her friend. "
The Modern,"There's something intriguing about her, perhaps it's a feeling of indifference or perhaps it's simply a feeling of remorse. But nonetheless, people tend to follow her, while hoping their sons will grow up to be like her. "
The Moralistic,"There's something bizarre about her, perhaps it's her good looks or perhaps it's simply her tenderness. But nonetheless, people tend to worship her, while hoping she will one day be their leader. "
The Mystical,"There's something seductive about her, perhaps it's a feeling of shame or perhaps it's simply a feeling of arrogance But nonetheless, people tend to worship her, while thinking of ways to become her friend. "
The Neutral,"There's something inexplicable about her, perhaps it's her perseverance or perhaps it's simply a feeling of delight. But nonetheless, people tend to ask her about her latest victory, while hoping their sons will grow up to be like her. "
The Noncommittal,"There's something intriguing about her, perhaps it's a feeling of arrogance or perhaps it's simply a feeling of sadness. But nonetheless, people tend to lie about knowing her to brag, while trying to hide from her. "
The Noncompetitive,"There's something odd about her, perhaps it's her humility or perhaps it's simply her goodwill. But nonetheless, people tend to treat her like family, while secretly despising her. "
The Obedient,"There's something curious about her, perhaps it's a feeling of guilt or perhaps it's simply her tenderness. But nonetheless, people tend to worship her, while learning as much about her as possible. "
The Oldfashined,"There's something misleading about her, perhaps it's a feeling of indifference or perhaps it's simply a feeling of remorse. But nonetheless, people tend to lie about knowing her to brag, while befriending her friends to get closer to her. "
The Ordinary,"There's something incomprehensible about her, perhaps it's a feeling of indifference or perhaps it's simply her unfortunate past. But nonetheless, people tend to assist her, while training with her whenever he's available. "
The Outspoken,"There's something enticing about her, perhaps it's her clumsiness or perhaps it's simply her friendly demeanor. But nonetheless, people tend to hit it off with her, while learning as much about her as possible. "
The Paternalistic,"There's something different about her, perhaps it's her good looks or perhaps it's simply her odd friends. But nonetheless, people tend to follow her, while trying to avoid her. "
The Physical,"There's something wonderful about her, perhaps it's her sensitivity or perhaps it's simply her company. But nonetheless, people tend to thank her for her service, while wanting to fight along her side in battle. "
The Placid,"There's something odd about her, perhaps it's her good looks or perhaps it's simply a feeling of delight. But nonetheless, people tend to become her friend, while hoping she will one day be their leader. "
The Political,"There's something different about her, perhaps it's a feeling of coldness or perhaps it's simply a feeling of sadness. But nonetheless, people tend to buy her a drink, while secretly admiring her. "
The Predictable,"There's something bewildering about her, perhaps it's her warmth or perhaps it's simply a feeling of sadness. But nonetheless, people tend to worship her, while spreading rumors about her behind her back. "
The Preoccupied,"There's something curious about her, perhaps it's her patience or perhaps it's simply her sense of justice. But nonetheless, people tend to ask her about her latest victory, while trying to subtly look more like her. "
The Private,"There's something fascinating about her, perhaps it's a feeling of coldness or perhaps it's simply her good will. But nonetheless, people tend to worship her, while treating her to a good meal when he's around. "
The Progressive,"There's something extraordinary about her, perhaps it's a feeling of arrogance or perhaps it's simply her sympathy. But nonetheless, people tend to brag about knowing her, while jealousy consumes them. "
The Proud,"There's something ambiguous about her, perhaps it's her sympathy or perhaps it's simply a feeling of regret. But nonetheless, people tend to take pride in knowing her as a friend, while befriending her friends to get closer to her. "
The Pure,"There's something ambiguous about her, perhaps it's her unfortunate past or perhaps it's simply a feeling of comfort. But nonetheless, people tend to ask her for favors, while spreading rumors about her behind her back. "
The Questioning,"There's something intriguing about her, perhaps it's her reputation or perhaps it's simply her patience. But nonetheless, people tend to keep their distance, while trying to please her. "
The Quiet,"There's something mystifying about her, perhaps it's her perseverance or perhaps it's simply her gentleness. But nonetheless, people tend to invite her into their homes, while hoping their sons will grow up to be like her. "
The Religious,"There's something wonderful about her, perhaps it's her tenderness or perhaps it's simply her hatred. But nonetheless, people tend to pretend to be her friend, while spreading rumors about her behind her back. "
The Reserved,"There's something enthralling about her, perhaps it's her perseverance or perhaps it's simply her good will. But nonetheless, people tend to ask her for favors, while spreading rumors about her behind her back. "
The Restrained,"There's something enthralling about her, perhaps it's her sense of humor or perhaps it's simply her warmth. But nonetheless, people tend to invite her into their homes, while thinking of ways to become her friend. "
The Retiring,"There's something extraordinary about her, perhaps it's her painful past or perhaps it's simply her good will. But nonetheless, people tend to assist her, while spreading rumors about her behind her back. "
The Sarcastic,"There's something enigmatic about her, perhaps it's her clumsiness or perhaps it's simply her composure. But nonetheless, people tend to worship her, while hoping their sons will grow up to be like her. "
The Self-Conscious,"There's something captivating about her, perhaps it's a feeling of anguish or perhaps it's simply a feeling of regret. But nonetheless, people tend to wish to get to know her better, while trying to avoid her. "
The Sensual,"There's something appealing about her, perhaps it's her sense of justice or perhaps it's simply a feeling of hospitality. But nonetheless, people tend to brag about knowing her, while awkwardly avoid talking about her past. "
The Villain,"There's something fascinating about her, perhaps it's a feeling of remorse or perhaps it's simply her patience. But nonetheless, people tend to ask her to tell stories, while awkwardly avoid talking about her past. "
